"County","Year","Cases"
"Alameda","2011",0
"Amador","2011",1
"Butte","2011",3
"Calaveras","2011",0
"Colusa","2011",0
"Contra Costa","2011",3
"El Dorado","2011",1
"Fresno","2011",9
"Glenn","2011",1
"Imperial","2011",0
"Kern","2011",18
"Kings","2011",1
"Lake","2011",0
"Los Angeles","2011",58
"Madera","2011",2
"Marin","2011",0
"Mendocino","2011",0
"Merced","2011",1
"Modoc","2011",0
"Mono","2011",0
"Monterey","2011",0
"Napa","2011",0
"Nevada","2011",0
"Orange","2011",10
"Placer","2011",1
"Riverside","2011",7
"Sacramento","2011",4
"San Bernardino","2011",4
"San Diego","2011",0
"San Francisco","2011",0
"San Joaquin","2011",5
"San Luis Obispo","2011",0
"Santa Barbara","2011",1
"Santa Clara","2011",1
"Santa Cruz","2011",1
"Shasta","2011",0
"Siskiyou","2011",0
"Solano","2011",0
"Sonoma","2011",0
"Stanislaus","2011",11
"Sutter","2011",0
"Tehama","2011",1
"Tulare","2011",11
"Ventura","2011",0
"Yolo","2011",0
"Yuba","2011",3
